sex,month,year,start,end
M,12,1999,94704,94704
M,12,2000,94706,94706
M,4,1999,94703,94703
M,2,1999,94710,94710
M,12,1994,94707,94707
M,2,1999,94710,94710
M,11,1999,94701,94705
F,10,1992,94705,94705
M,4,2000,94701,94712
M,12,1994,94710,94701
M,2,1990,94701,94701
M,11,2000,94720,94720
M,3,1998,94710,94706
F,3,1993,94702,94702
F,2,1991,94708,94708
M,6,2000,94710,94710
M,7,1994,94712,94712
F,5,1994,94705,94705
M,6,1994,94703,94703
F,5,1994,94705,94705
F,1,1994,94720,94720
M,6,1990,94709,94709
M,8,1998,94709,94709
M,2,2000,94705,94705
F,2,1994,94704,94712
M,4,2000,94705,94705
M,8,1997,94701,94701
F,6,1997,94720,94720
M,7,1997,94705,94709
M,10,1991,94701,94701
F,2,1994,94704,94707
M,5,1996,94702,94702
M,4,1990,94708,94712
M,4,2000,94701,94709
M,9,1993,94703,94703
M,5,1994,94709,94707
F,5,1998,94702,94704
M,4,1998,94720,94720
M,1,1999,94707,94707
M,6,1995,94704,94702
M,2,1992,94720,94720
M,2,1996,94701,94701
M,7,1992,94707,94703
M,3,1994,94708,94708
M,10,1999,94712,94712
M,11,1990,94702,94708
M,8,1999,94706,94706
F,8,1995,94702,94702
F,11,1991,94709,94707
M,10,1998,94708,94707
F,10,1995,94720,94720
F,3,1998,94708,94708
M,9,1993,94703,94703
F,4,1992,94705,94701
M,12,1990,94707,94710
M,7,1997,94702,94705
M,5,1990,94704,94701
M,3,1995,94720,94720
M,8,1992,94707,94707
F,11,1992,94712,94704
F,2,1992,94712,94712
F,6,1995,94704,94705
M,3,1995,94707,94707
F,4,1993,94707,94707
M,3,1994,94709,94706
M,9,2000,94701,94701
M,6,2000,94701,94701
F,8,1999,94709,94705
M,1,1990,94720,94720
M,7,1991,94707,94707
F,6,1997,94720,94720
F,9,1999,94704,94708
M,5,1995,94710,94710
M,2,1999,94706,94705
F,8,2000,94720,94720
M,9,1998,94710,94710
F,2,1991,94708,94708
F,7,2000,94702,94706
M,3,1991,94720,94703
M,3,1991,94702,94702
M,3,1990,94708,94708
M,5,2000,94704,94708
M,2,2000,94720,94720
M,3,1992,94720,94720
M,12,2000,94703,94703
M,1,1997,94704,94706
M,6,1997,94704,94704
M,5,1994,94703,94703
F,9,1993,94709,94709
M,9,1991,94707,94707
M,11,1999,94703,94707
M,7,1997,94705,94705
F,8,1990,94702,94702
M,7,2000,94701,94701
F,8,1993,94720,94720
F,12,1992,94705,94705
M,9,1995,94707,94708
M,7,1995,94703,94703
M,8,1995,94701,94701
M,11,1994,94709,94709
M,10,1990,94703,94708
M,4,1997,94707,94707
M,9,1993,94701,94701
M,2,1993,94710,94704
M,8,1992,94706,94702
M,4,1990,94703,94703
F,8,1990,94702,94702
M,7,1999,94720,94705
M,5,1990,94709,94710
M,12,1992,94707,94707
F,11,1991,94706,94706
F,2,1993,94720,94720
M,10,1995,94703,94703
M,1,1991,94708,94712
M,12,2000,94701,94701
M,7,1998,94708,94707
M,3,1998,94710,94704
M,3,1999,94707,94707
M,11,1998,94710,94710
F,11,1991,94707,94707
M,5,1999,94704,94704
M,12,1992,94704,94710
M,7,1991,94703,94703
F,2,1994,94704,94704
F,11,1991,94706,94706
M,2,1990,94701,94701
M,8,1999,94710,94710
M,8,1996,94702,94704
M,3,2000,94701,94706
M,2,1992,94720,94720
M,8,1994,94708,94708
M,12,1997,94703,94703
M,12,2000,94712,94703
M,1,2000,94703,94703
M,8,1994,94705,94703
F,3,1990,94707,94707
F,5,1993,94706,94706
M,7,1999,94720,94720
M,6,1998,94705,94705
M,6,1997,94702,94702
M,9,1994,94704,94702
M,6,1995,94704,94704
M,6,1995,94703,94703
M,2,1998,94720,94720
M,7,1997,94705,94701
M,11,1994,94720,94704
M,6,1997,94712,94712
M,11,1995,94706,94706
M,1,1995,94701,94701
F,10,1998,94704,94704
M,12,1999,94709,94704
F,7,1994,94702,94702
M,3,1999,94703,94708
M,8,1992,94704,94706
M,6,1997,94712,94712
F,8,1990,94703,94712
M,9,1996,94702,94702
F,3,1993,94702,94702
M,12,1996,94701,94701
M,3,2000,94701,94701
M,8,1991,94701,94701
M,12,1993,94708,94708
M,1,1992,94702,94702
F,12,2000,94712,94710
M,11,1992,94712,94705
F,12,1996,94706,94706
M,10,1998,94704,94704
M,3,1995,94702,94712
M,1,1997,94712,94712
M,12,1992,94708,94708
M,8,1999,94720,94720
M,6,1995,94720,94720
M,1,1995,94720,94720
M,3,1990,94706,94712
M,11,1996,94705,94706
M,8,1994,94705,94705
M,2,1999,94710,94710
M,6,1997,94712,94712
F,11,1998,94708,94708
M,9,2000,94720,94720
F,4,1995,94706,94706
F,9,1994,94701,94706
M,12,1997,94703,94703
M,2,1996,94705,94705
F,4,2000,94703,94703
M,2,1996,94706,94706
F,6,1991,94702,94709
F,1,1994,94706,94706
M,8,2000,94702,94710
M,8,1991,94702,94702
M,10,1998,94708,94712
M,7,1991,94701,94701
M,9,1994,94702,94702
F,1,1991,94705,94705
M,11,2000,94705,94705
M,11,1992,94712,94705
M,10,1992,94701,94701
F,12,1990,94708,94708
M,6,1992,94703,94710
M,7,1990,94720,94720
M,3,1990,94705,94705
F,9,1990,94720,94720
M,3,1996,94708,94703
M,12,1997,94712,94704
M,3,1993,94708,94708
M,10,1996,94708,94705
F,10,1995,94703,94703
F,11,1998,94708,94708
M,7,1994,94712,94709
F,9,1995,94701,94701
M,5,1999,94703,94710
F,2,1990,94709,94709
F,10,1993,94704,94708
F,7,1992,94706,94706
M,1,1995,94708,94708
M,4,1992,94706,94706
M,8,1998,94701,94701
F,4,1990,94701,94703
M,1,1993,94705,94705
F,1,1998,94709,94709
M,7,1998,94708,94708
M,4,1991,94720,94720
M,3,1998,94708,94708
M,7,1992,94701,94701
M,5,1992,94703,94703
F,12,1999,94707,94720
M,4,1999,94706,94720
F,6,1991,94709,94702
M,3,1991,94702,94703
F,4,1992,94708,94708
M,8,1990,94720,94720
M,7,1991,94705,94705
M,8,1996,94702,94702
M,10,1991,94703,94703
M,11,1994,94709,94709
F,1,1994,94706,94708
F,7,1992,94720,94710
M,4,1992,94705,94705
M,11,1998,94705,94705
M,8,1990,94701,94701
M,7,1995,94707,94707
F,11,2000,94720,94720
M,1,1991,94701,94707
M,12,1996,94710,94710
M,7,1992,94707,94707
M,2,1995,94710,94706
M,6,1997,94701,94701
F,4,1993,94707,94707
F,6,1990,94707,94707
F,1,1997,94705,94705
M,9,1999,94704,94708
M,1,1990,94720,94720
M,4,2000,94705,94705
M,11,1990,94704,94704
M,3,1992,94706,94706
M,8,1990,94703,94703
F,8,1992,94706,94704
M,4,1997,94707,94707
M,1,1996,94709,94709
F,12,2000,94712,94712
M,5,1998,94712,94720
M,8,2000,94707,94707
M,12,1994,94712,94712
M,8,1999,94706,94706
F,8,1992,94702,94701
M,11,1997,94705,94705
M,7,2000,94701,94707
M,7,1999,94720,94720
M,7,1995,94703,94703
M,3,1996,94706,94706
F,10,1997,94709,94709
M,4,1991,94709,94709
F,11,1992,94705,94705
M,7,1994,94706,94708
M,7,1998,94704,94704
M,11,1998,94705,94720
F,9,1990,94708,94720
M,3,1996,94706,94706
M,3,1993,94703,94703
M,9,1993,94708,94708
M,3,1990,94706,94706
M,10,1990,94705,94705
F,6,1994,94706,94706
M,2,1993,94702,94702
M,10,1991,94707,94707
M,9,1994,94702,94702
M,10,1991,94705,94702
F,1,1995,94702,94702
M,12,1999,94720,94720
M,11,1995,94706,94706
F,6,1996,94702,94702
M,11,1999,94705,94704
M,11,1990,94702,94702
F,4,1990,94701,94701
M,2,1990,94704,94701
F,5,1991,94707,94709
M,1,1997,94712,94712
M,12,1999,94720,94720
M,2,1990,94702,94702
F,9,1994,94701,94701
M,11,1990,94702,94702
M,11,1999,94704,94707
M,5,1993,94709,94705
F,10,1997,94709,94709
M,10,1995,94706,94706
M,5,1999,94708,94703
F,12,2000,94701,94701
F,11,1990,94707,94705
M,6,1991,94704,94701
M,3,1993,94706,94709
F,4,1994,94704,94704
F,7,1993,94709,94709
F,8,1990,94712,94712
M,10,1991,94705,94705
M,2,1996,94701,94701
F,2,1994,94704,94704
M,4,1997,94708,94707
M,3,1994,94708,94708
M,4,1994,94701,94701
M,2,1995,94710,94708
F,3,1994,94707,94707
M,11,2000,94704,94704
M,8,1992,94720,94708
F,3,1994,94710,94706
M,7,1999,94704,94707
M,10,1996,94704,94720
M,8,1998,94712,94701
M,7,2000,94709,94701
M,7,1994,94702,94702
M,11,1998,94709,94709
M,1,1999,94701,94701
M,7,1993,94702,94702
M,1,1991,94720,94720
F,5,2000,94706,94706
M,5,2000,94708,94708
F,2,1990,94707,94709
M,7,2000,94707,94707
M,3,1996,94707,94720
M,6,1995,94704,94704
M,10,2000,94703,94703
M,2,1995,94706,94706
M,5,1995,94703,94703
M,6,1996,94702,94702
M,2,1990,94720,94720
M,10,1996,94709,94709
M,6,2000,94707,94712
F,12,1995,94709,94707
M,2,1992,94701,94709
M,4,1998,94709,94709
F,5,1995,94703,94705
F,11,1994,94712,94712
M,8,1992,94708,94708
M,3,1998,94702,94701
M,11,1998,94702,94702
M,4,1995,94712,94712
M,10,1995,94705,94705
M,5,1999,94704,94710
F,1,1997,94703,94720
M,11,1994,94720,94703
M,4,1991,94720,94702
F,5,1994,94703,94710
F,8,1998,94709,94709
M,10,1998,94707,94709
F,8,1993,94720,94720
F,2,2000,94712,94712
F,6,1991,94709,94709
F,7,1995,94708,94708
M,3,1995,94708,94708
M,1,2000,94703,94703
F,1,2000,94702,94702
M,10,1990,94702,94702
M,5,2000,94708,94708
M,1,1991,94704,94701
M,2,1997,94705,94705
F,1,1997,94703,94703
F,3,1990,94708,94701
M,2,1999,94704,94704
F,11,2000,94701,94701
M,10,2000,94703,94703
M,10,2000,94703,94703
M,9,1993,94705,94705
M,7,1997,94705,94705
F,8,2000,94707,94707
F,2,1991,94709,94709
M,9,1999,94704,94705
M,1,1991,94704,94702
M,1,1998,94702,94707
F,7,1995,94708,94708
M,6,1999,94710,94710
M,3,1998,94707,94703
M,8,1992,94706,94706
M,4,1995,94710,94707
M,2,1995,94710,94710
M,6,1995,94704,94704
M,7,1999,94720,94720
M,11,1998,94703,94703
M,5,1994,94703,94703
M,11,1993,94708,94708
F,8,1997,94703,94712
F,11,1998,94703,94701
M,6,1998,94705,94705
M,6,1992,94709,94709
M,8,1990,94703,94708
M,12,1991,94707,94707
M,7,1999,94704,94709
F,11,1994,94720,94720
M,7,1999,94704,94704
F,12,1994,94701,94720
M,8,1995,94710,94710
M,2,1999,94706,94709
F,6,1994,94705,94705
F,3,1990,94707,94707
F,7,1996,94704,94702
M,7,1998,94712,94708
M,2,1997,94707,94707
F,10,1990,94708,94708
F,7,2000,94702,94704
M,1,1991,94720,94720
M,4,1997,94707,94707
M,9,1999,94701,94701
F,3,1990,94708,94708
F,8,1995,94702,94710
F,2,1997,94712,94704
M,7,1991,94701,94704
M,5,1990,94708,94708
M,5,2000,94708,94706
M,8,1995,94701,94701
F,2,1993,94701,94720
F,8,1995,94701,94701
F,2,1999,94706,94706
M,3,1996,94708,94704
M,11,1995,94706,94706
M,8,1994,94702,94702
M,7,1991,94708,94708
M,7,1994,94709,94702
F,6,1999,94712,94712
M,8,1996,94706,94705
M,10,1996,94702,94702
F,4,1994,94709,94703
M,2,1998,94705,94705
M,2,1990,94702,94702
M,7,1992,94704,94704
M,12,1996,94710,94710
M,2,1999,94706,94706
F,3,1995,94706,94706
M,3,2000,94720,94720
M,9,1992,94708,94708
M,12,1994,94703,94706
M,3,1992,94720,94720
M,10,1999,94704,94704
M,8,1996,94707,94707
F,8,1996,94706,94701
M,3,1995,94707,94707
F,11,1994,94710,94703
F,5,1990,94712,94712
M,2,1993,94702,94702
M,7,1999,94720,94720
M,6,1994,94708,94705
M,7,1995,94702,94702
F,11,1994,94720,94720
M,6,1998,94708,94708
F,7,1998,94701,94705
M,1,1990,94710,94702
M,1,1997,94710,94707
F,4,1992,94710,94710
